t_ms,rh_A_THJ5,rh_A_THJ4,rh_A_THJ2,rh_A_THJ1,rh_A_FFJ4,rh_A_FFJ3,rh_A_FFJ0,rh_A_RFJ4,rh_A_RFJ3,rh_A_RFJ0
17290953,2.3929658765349446e-06,2.326476707322587e-05,2.812200519423961e-06,4.8469867987922e-07,-1.2901081714532734e-06,0.0003477036357089948,-5.998443562709857e-07,1.2901081714532743e-06,0.0003477036357089952,-1.2901081714532734e-06
17290953,7.595523522059768e-06,8.562537129017949e-05,8.678557360925327e-06,1.5176592265057521e-06,-4.65332271395782e-06,0.0010014161358539923,3.2165634012161988e-06,4.653322029828511e-06,0.0010014157312106318,-4.65332271395782e-06
17290953,1.3971597361865416e-05,4.4820855082588226e-05,1.545863726893294e-05,2.7104234814403727e-06,-9.729101151376044e-06,0.0016380972259030528,1.377430693305077e-05,9.72909707566419e-06,0.0016380944732539036,-9.729101151376044e-06
17290953,2.0576630699911162e-05,-5.76156833292564e-05,2.195012738261248e-05,3.848309935171218e-06,-1.6293483822737392e-05,0.002081438364450936,3.231077114311537e-05,1.6293468667385053e-05,0.0020814287121256963,-1.6293483822737392e-05
17290953,2.701962393602954e-05,-0.00019344426753857802,2.7691439010941857e-05,4.853392117935451e-06,-2.420631293479468e-05,0.0023661600412304886,5.940440249391716e-05,2.4206270042931855e-05,0.002366146919668556,-2.420631293479468e-05
17290953,3.303524372702231e-05,-0.0003444083553818668,3.2417325370390066e-05,5.681761367237043e-06,-3.3263280594129776e-05,0.002509373035259938,9.509955587945428e-05,3.326318090378876e-05,0.0025093432053737183,-3.3263280594129776e-05
17290953,3.838424099605615e-05,-0.0004953986342463701,3.5909166529536015e-05,6.295417950132167e-06,-4.321808859389807e-05,0.0024673114270386985,0.00013907602807267967,4.3217888508243925e-05,0.00246725010585204,-4.321808859389807e-05
17290953,4.2969711318475714e-05,-0.0006355590945566859,3.813063044313386e-05,6.68893352044849e-06,-5.385012930067242e-05,0.002229599105804208,0.00019083214484405598,5.384976979071089e-05,0.002229490930770839,-5.385012930067242e-05
17290968,4.678120767228795e-05,-0.0007583420845104026,3.9153455760643095e-05,6.8759187251127246e-06,-6.495953935190526e-05,0.0018055959628209635,0.0002497267655522256,6.495894643983132e-05,0.001805426117078262,-6.495953935190526e-05
17290968,4.9858884566096975e-05,-0.0008610808210725683,3.910678711599153e-05,6.879847216587995e-06,-7.637353633971283e-05,0.0012156104465281422,0.0003150252919879717,7.637262270931924e-05,0.001215365782537226,-7.637353633971283e-05
17290968,5.2270120986211303e-05,-0.0009436086927196964,3.814572089620185e-05,6.7283755402602505e-06,-8.794575994281834e-05,0.00048521198265482734,0.0003859183190395869,8.794442746130973e-05,0.00048488212435478554,-8.794575994281834e-05
17290968,5.407553422241314e-05,-0.0010064364986813105,3.651998335931769e-05,6.4695429753444165e-06,-9.929180491539454e-05,-0.0003627656264164734,0.0004610859023239041,9.928995310874445e-05,-0.00036318466208994484,-9.929180491539454e-05
17290968,5.527902440536527e-05,-0.001048615118113934,3.455444465165644e-05,6.1696133450785985e-06,-0.0001096743745918954,-0.0013150053225640455,0.000538635144584497,0.00010967191625414317,-0.001315506726932408,-0.0001096743745918954
