t_ms,rh_A_THJ5,rh_A_THJ4,rh_A_THJ2,rh_A_THJ1,rh_A_FFJ4,rh_A_FFJ3,rh_A_FFJ0,rh_A_RFJ4,rh_A_RFJ3,rh_A_RFJ0
17979281,2.3929658765349446e-06,2.326476707322587e-05,2.812200519423961e-06,4.8469867987922e-07,-1.2901081714532734e-06,0.0003477036357089948,-5.998443562709857e-07,1.2901081714532743e-06,0.0003477036357089952,-1.2901081714532734e-06
17979375,7.595523522059768e-06,8.562537129017949e-05,8.678557360925327e-06,1.5176592265057521e-06,-4.65332271395782e-06,0.0010014161358539923,3.2165634012161988e-06,4.653322029828511e-06,0.0010014157312106318,-4.65332271395782e-06
17979546,1.3971597361865416e-05,4.4820855082588226e-05,1.545863726893294e-05,2.7104234814403727e-06,-9.729101151376044e-06,0.0016380972259030528,1.377430693305077e-05,9.72909707566419e-06,0.0016380944732539036,-9.729101151376044e-06
17979734,2.0576630699911162e-05,-5.76156833292564e-05,2.195012738261248e-05,3.848309935171218e-06,-1.6293483822737392e-05,0.002081438364450936,3.231077114311537e-05,1.6293468667385053e-05,0.0020814287121256963,-1.6293483822737392e-05
17979890,2.701962393602954e-05,-0.00019344426753857802,2.7691439010941857e-05,4.853392117935451e-06,-2.420631293479468e-05,0.0023661600412304886,5.940440249391716e-05,2.4206270042931855e-05,0.002366146919668556,-2.420631293479468e-05
17980046,3.303524372702231e-05,-0.0003444083553818668,3.2417325370390066e-05,5.681761367237043e-06,-3.3263280594129776e-05,0.002509373035259938,9.509955587945428e-05,3.326318090378876e-05,0.0025093432053737183,-3.3263280594129776e-05
17980203,3.838424099605615e-05,-0.0004953986342463701,3.5909166529536015e-05,6.295417950132167e-06,-4.321808859389807e-05,0.0024673114270386985,0.00013907602807267967,4.3217888508243925e-05,0.00246725010585204,-4.321808859389807e-05
17980375,4.2969711318475714e-05,-0.0006355590945566859,3.813063044313386e-05,6.68893352044849e-06,-5.385012930067242e-05,0.002229599105804208,0.00019083214484405598,5.384976979071089e-05,0.002229490930770839,-5.385012930067242e-05
17980531,4.678120767228795e-05,-0.0007583420845104026,3.9153455760643095e-05,6.8759187251127246e-06,-6.495953935190526e-05,0.0018055959628209635,0.0002497267655522256,6.495894643983132e-05,0.001805426117078262,-6.495953935190526e-05
17980671,4.9858884566096975e-05,-0.0008610808210725683,3.910678711599153e-05,6.879847216587995e-06,-7.637353633971283e-05,0.0012156104465281422,0.0003150252919879717,7.637262270931924e-05,0.001215365782537226,-7.637353633971283e-05
17980718,5.2270120986211303e-05,-0.0009436086927196964,3.814572089620185e-05,6.7283755402602505e-06,-8.794575994281834e-05,0.00048521198265482734,0.0003859183190395869,8.794442746130973e-05,0.00048488212435478554,-8.794575994281834e-05
17980828,5.407553422241314e-05,-0.0010064364986813105,3.651998335931769e-05,6.4695429753444165e-06,-9.929180491539454e-05,-0.0003627656264164734,0.0004610859023239041,9.928995310874445e-05,-0.00036318466208994484,-9.929180491539454e-05
17981015,5.527902440536527e-05,-0.001048615118113934,3.455444465165644e-05,6.1696133450785985e-06,-0.0001096743745918954,-0.0013150053225640455,0.000538635144584497,0.00010967191625414317,-0.001315506726932408,-0.0001096743745918954
17981171,5.589275914422802e-05,-0.0010698778541173106,3.261509165484603e-05,5.903172378446217e-06,-0.00011829126904912454,-0.0023553185430428376,0.0006164119606024522,0.00011828814395271099,-0.0023558823679344122,-0.00011829126904912454
17981312,5.597355447418855e-05,-0.0010719200469081556,3.1042853456604866e-05,5.73751394946071e-06,-0.00012454388385401473,-0.00345914276057407,0.0006923301605729906,0.00012454006555539062,-0.0034597363474637927,-0.00012454388385401473
17981500,5.564325370453535e-05,-0.0010591827965269927,3.0416721820876008e-05,5.786781006907609e-06,-0.00012750435412709713,-0.004592175536115007,0.0007628290237425183,0.00012749986784372675,-0.004592741055645263,-0.00012750435412709713
17981671,5.5010050396746614e-05,-0.0010358316254585132,3.115015449417041e-05,6.130651924683701e-06,-0.0001265821610597228,-0.005724894737479543,0.0008247319144959078,0.0001265770847069631,-0.005725354082059912,-0.0001265821610597228
17981828,5.415444027677148e-05,-0.0010051277015836995,3.3424736773175236e-05,6.809615834768733e-06,-0.00012160837481798979,-0.006834886287332687,0.0008787329018565913,0.00012160282779502025,-0.006835180154742709,-0.00012160837481798979
17981984,5.313788395803767e-05,-0.0009696707000915533,3.726428583185058e-05,7.831363807506983e-06,-0.00011271083952286168,-0.00790519926996202,0.0009263889439702543,0.00011270495725203031,-0.00790529377312824,-0.00011271083952286168
17982171,5.2008502499465257e-05,-0.0009316669663237882,4.2591192239168e-05,9.174278562336062e-06,-0.00010022003990835655,-0.008923231139017584,0.0009669193170057936,0.00010021395197060561,-0.008923089529946655,-0.00010022003990835655
17982328,5.080381749259154e-05,-0.0008930282937873382,4.926162856633863e-05,1.080350971926194e-05,-8.45786933440734e-05,-0.009879993076556175,0.0009997628956538466,8.45725143281512e-05,-0.009879578692636042,-8.45786933440734e-05
