t_ms,rh_A_THJ5,rh_A_THJ4,rh_A_THJ2,rh_A_THJ1,rh_A_FFJ4,rh_A_FFJ3,rh_A_FFJ0,rh_A_RFJ4,rh_A_RFJ3,rh_A_RFJ0
99139796,2.392965876534863e-06,2.326476707322604e-05,2.812200519424051e-06,4.846986798791973e-07,-1.290108171453231e-06,0.0003477036357089948,-5.998443562709765e-07,1.2901081714532304e-06,0.0003477036357089952,-1.290108171453231e-06
99139796,7.595523522059616e-06,8.562537129017978e-05,8.678557360925487e-06,1.517659226505708e-06,-4.653322713957807e-06,0.0010014161358539923,3.2165634012162043e-06,4.653322029828505e-06,0.0010014157312106318,-4.653322713957807e-06
99139796,1.397159736186521e-05,4.482085508258772e-05,1.545863726893316e-05,2.7104234814403126e-06,-9.729101151376054e-06,0.0016380972259030526,1.3774306933050772e-05,9.729097075664213e-06,0.0016380944732539034,-9.729101151376054e-06
99139796,2.0576630699910915e-05,-5.761568332925748e-05,2.1950127382612757e-05,3.848309935171145e-06,-1.629348382273742e-05,0.0020814383644509353,3.2310771143115374e-05,1.6293468667385097e-05,0.002081428712125696,-1.629348382273742e-05
99139812,2.701962393602926e-05,-0.00019344426753857943,2.7691439010942186e-05,4.853392117935368e-06,-2.4206312934794724e-05,0.0023661600412304873,5.940440249391717e-05,2.4206270042931916e-05,0.0023661469196685552,-2.4206312934794724e-05
99139812,3.303524372702201e-05,-0.00034440835538186856,3.2417325370390446e-05,5.681761367236952e-06,-3.326328059412982e-05,0.002509373035259936,9.50995558794543e-05,3.3263180903788826e-05,0.002509343205373717,-3.326328059412982e-05
99139812,3.838424099605583e-05,-0.0004953986342463721,3.5909166529536435e-05,6.295417950132071e-06,-4.321808859389812e-05,0.0024673114270386967,0.0001390760280726797,4.321788850824399e-05,0.0024672501058520388,-4.321808859389812e-05
99139812,4.296971131847538e-05,-0.000635559094556688,3.813063044313432e-05,6.68893352044839e-06,-5.385012930067247e-05,0.002229599105804206,0.00019083214484405604,5.384976979071096e-05,0.0022294909307708378,-5.385012930067247e-05
99139812,4.6781207672287595e-05,-0.0007583420845104048,3.915345576064358e-05,6.87591872511262e-06,-6.495953935190531e-05,0.0018055959628209617,0.00024972676555222564,6.495894643983138e-05,0.0018054261170782607,-6.495953935190531e-05
99139812,4.985888456609661e-05,-0.0008610808210725704,3.910678711599204e-05,6.879847216587888e-06,-7.637353633971289e-05,0.0012156104465281404,0.00031502529198797175,7.637262270931931e-05,0.0012153657825372246,-7.637353633971289e-05
99139812,5.227012098621093e-05,-0.0009436086927196984,3.8145720896202394e-05,6.728375540260142e-06,-8.794575994281839e-05,0.0004852119826548256,0.0003859183190395869,8.79444274613098e-05,0.00048488212435478435,-8.794575994281839e-05
99139828,5.407553422241275e-05,-0.0010064364986813125,3.6519983359318243e-05,6.4695429753443055e-06,-9.929180491539461e-05,-0.00036276562641647525,0.0004610859023239041,9.928995310874452e-05,-0.0003631846620899459,-9.929180491539461e-05
99139828,5.527902440536488e-05,-0.0010486151181139357,3.4554444651657e-05,6.169613345078485e-06,-0.00010967437459189549,-0.0013150053225640475,0.000538635144584497,0.00010967191625414324,-0.001315506726932409,-0.00010967437459189549
99139828,5.589275914422763e-05,-0.0010698778541173121,3.261509165484661e-05,5.903172378446101e-06,-0.00011829126904912461,-0.00235531854304284,0.0006164119606024522,0.00011828814395271106,-0.002355882367934413,-0.00011829126904912461
99139828,5.597355447418815e-05,-0.0010719200469081571,3.104285345660545e-05,5.737513949460593e-06,-0.0001245438838540148,-0.003459142760574073,0.0006923301605729905,0.00012454006555539068,-0.0034597363474637936,-0.0001245438838540148
99139828,5.564325370453494e-05,-0.001059182796526994,3.041672182087659e-05,5.786781006907489e-06,-0.00012750435412709718,-0.0045921755361150104,0.0007628290237425181,0.0001274998678437268,-0.004592741055645264,-0.00012750435412709718
99139828,5.501005039674621e-05,-0.0010358316254585143,3.1150154494170995e-05,6.130651924683581e-06,-0.00012658216105972285,-0.0057248947374795465,0.0008247319144959076,0.00012657708470696313,-0.005725354082059913,-0.00012658216105972285
99139843,5.4154440276771065e-05,-0.0010051277015837004,3.3424736773175825e-05,6.809615834768613e-06,-0.00012160837481798983,-0.006834886287332691,0.000878732901856591,0.00012160282779502024,-0.00683518015474271,-0.00012160837481798983
99139843,5.3137883958037244e-05,-0.000969670700091554,3.7264285831851156e-05,7.831363807506863e-06,-0.00011271083952286172,-0.007905199269962023,0.0009263889439702541,0.0001127049572520303,-0.007905293773128241,-0.00011271083952286172
99139843,5.200850249946482e-05,-0.0009316669663237888,4.259119223916856e-05,9.17427856233594e-06,-0.00010022003990835661,-0.008923231139017588,0.0009669193170057933,0.0001002139519706056,-0.008923089529946656,-0.00010022003990835661
99139843,5.08038174925911e-05,-0.0008930282937873388,4.9261628566339184e-05,1.0803509719261817e-05,-8.457869334407344e-05,-0.009879993076556178,0.0009997628956538462,8.457251432815117e-05,-0.009879578692636044,-8.457869334407344e-05
99139843,4.955343833204821e-05,-0.0008552882901719708,5.709492207862584e-05,1.2677948478793096e-05,-6.628199212915052e-05,-0.01076943572892452,0.0010248004272418892,6.627581502528278e-05,-0.010768717277527047,-6.628199212915052e-05
99139843,4.8280752367051735e-05,-0.0008196652163887728,6.589445237538948e-05,1.4754279883701101e-05,-4.583667855676848e-05,-0.01158795412800036,0.0010422335854979898,4.5830570277178724e-05,-0.01158690892242686,-4.583667855676848e-05
99139843,4.7004176050295286e-05,-0.0007871036347698937,7.54622181489464e-05,1.698975323795592e-05,-2.373323439930328e-05,-0.012333969595028213,0.0010524841902834865,2.3727233726511593e-05,-0.012332585119259899,-2.373323439930328e-05
99139859,4.5738109921315256e-05,-0.0007583051617452951,8.560861854006622e-05,1.9343999490618607e-05,-4.279652765840036e-07,-0.013007568150576245,0.001056113353199412,4.2208308798217695e-07,-0.013005842346030631,-4.279652765840036e-07
99139859,4.449368767850925e-05,-0.000733754687073,9.615866028358697e-05,2.178014753387202e-05,2.3667575659935663e-05,-0.013610183529002652,0.0010537588230548599,-2.367335431647378e-05,-0.013608124171888903,2.3667575659935663e-05
99139859,4.327937685545803e-05,-0.000713745419209443,0.00010695552895103195,2.426543068629683e-05,4.819181769915741e-05,-0.014144317832507997,0.0010460881283099821,-4.819753022126567e-05,-0.014141941322697575,4.819181769915741e-05
99139859,4.210146844712535e-05,-0.0006984040493368283,0.00011786224610003104,2.677142787358296e-05,7.283459178905954e-05,-0.014613295577963559,0.0010337649234247936,-7.284029387298618e-05,-0.014610625402369017,7.283459178905954e-05
99139859,4.096448075969918e-05,-0.0006877161057841535,0.00012876196584375255,2.9274048610505816e-05,9.733591247443632e-05,-0.015021048401715777,0.0010174260319747114,-9.734167368261275e-05,-0.01501811346782127,9.733591247443632e-05
99139859,3.9871494146969835e-05,-0.000681550941781691,0.0001395573310626869,3.175334352372259e-05,0.00012148301003329006,-0.015371928578388858,0.0009976669123053035,-0.00012148890945083631,-0.015368761577798684,0.00012148301003329006
99139859,3.882442797589246e-05,-0.000679685620489624,0.00015016920678050187,3.419320151076639e-05,0.0001451062783756265,-0.015670548333870053,0.0009750335666462228,-0.00014511240061906586,-0.015667184241195457,0.0001451062783756265
99139875,3.782236714583796e-05,-0.0006817496626286365,0.00016053067142925243,3.658009100711119e-05,0.00016807070617632156,-0.015922927054604526,0.0009500220152348457,-0.00016807713778497712,-0.015919445545915276,0.00016807070617632156
99139875,3.6868866140527064e-05,-0.0006875509393997665,0.00017067408131039854,3.8920987410788685e-05,0.00019045022123806316,-0.01613727699102368,0.0009225990547474482,-0.00019045705445622232,-0.01613374449262153,0.00019045022123806316
99139875,3.596692399036275e-05,-0.0006968569424523833,0.00018061881015671118,4.122020140512432e-05,0.0002122882001546476,-0.016320460704348973,0.0008927995104212683,-0.00021229553077319448,-0.016316932329470048,0.0002122882001546476
99139875,3.511813465834899e-05,-0.0007093692622801533,0.00019036679005788646,4.3478475947162534e-05,0.00023359070246295146,-0.016478154159119907,0.0008607581297566579,-0.00023359862711766366,-0.016474675179845712,0.00023359070246295146
99139890,3.432284172247532e-05,-0.0007247408722268873,0.00019990859365643496,4.569424209065345e-05,0.00025434032923503955,-0.016615038469937234,0.0008266853948105542,-0.00025434894295311327,-0.016611645638007537,0.00025434032923503955
99139890,3.3580326637804126e-05,-0.0007425935773288836,0.00020922801518623432,4.78645545854149e-05,0.00027450637593837135,-0.01673496338567719,0.0007908466183440577,-0.0002745157699586842,-0.01673168611154598,0.00027450637593837135
99139890,3.2889006978523834e-05,-0.0007625345030494285,0.00021830545730754924,4.998577611627445e-05,0.00029405211738568315,-0.016841086113970283,0.0007535441899683557,-0.000294062377271622,-0.016837947513878397,0.00029405211738568315
99139890,3.224290224037257e-05,-0.000784010393200059,0.00022707281721549358,5.2044239295013185e-05,0.0003128437999410659,-0.016935746826996084,0.0007153527989760167,-0.00031285499755750085,-0.016932763421477398,0.0003128437999410659
99139890,3.16359903367582e-05,-0.0008065052005046979,0.00023546989561844836,5.4027875692197625e-05,0.00033076536928150794,-0.017020840074579296,0.0006768419361499826,-0.0003307775611371542,-0.01701802277509115,0.00033076536928150794
99139890,3.1063707798315784e-05,-0.0008296084823755054,0.00024346201365154532,5.592983244375853e-05,0.00034775351261967616,-0.017097984767852393,0.0006384736542766438,-0.0003477667412762929,-0.017095340191123357,0.00034775351261967616
99139906,3.052255502287718e-05,-0.0008529979997901881,0.00025103301677093377,5.774701349110747e-05,0.00036378275470340057,-0.01716855852935736,0.0006006220289498293,-0.00036379705015704785,-0.017166090024081607,0.00036378275470340057
99139906,3.000979795028005e-05,-0.0008764249770479643,0.00025817997478787817,5.9478980999509086e-05,0.00037885427186539145,-0.017233728623077524,0.0005635889941781819,-0.0003788696529015156,-0.017231437070389655,0.00037885427186539145
99139906,2.9523245332998296e-05,-0.0008997015690732712,0.00026490918521831515,6.112713207456399e-05,0.0003929875365097275,-0.01729447965869722,0.00052761723997064,-0.0003930040120180574,-0.017292364094763837,0.0003929875365097275
99139921,2.9061084799499682e-05,-0.0009226901903126469,0.00027123317770597283,6.269408578624129e-05,0.0004062141154441195,-0.017351638284312052,0.0004929007215455051,-0.00040623168567563287,-0.01734969638312101,0.0004062141154441195
99139921,2.8621764233885105e-05,-0.0009452944367674542,0.0002771684865091471,6.418323065030316e-05,0.0004185731053895922,-0.017405895092208107,0.00045959322286196223,-0.00041859176313983117,-0.017404123538587286,0.0004185731053895922
99139921,2.820390772970305e-05,-0.0009674513871744878,0.0002827340111267203,6.55983942756158e-05,0.00043010781053151804,-0.01745782396541065,0.0004278153332197561,-0.00043012754223879947,-0.017456218741976424,0.00043010781053151804
99139921,2.7806257611740412e-05,-0.0009891251068340683,0.00028794982597360344,6.69436057353916e-05,0.00044086335959168433,-0.017507899090246304,0.0003976601291193996,-0.00044088414634343325,-0.017506455696990865,0.00044086335959168433
99139937,2.7427635838469516e-05,-0.0010103012032554592,0.0002928363315220127,6.822292801442186e-05,0.0004508850306728018,-0.01755650985359589,0.00036919780030485443,-0.0004509068491174522,-0.01755522347488151,0.0004508850306728018
99139937,2.7066919970534107e-05,-0.0010309804289915017,0.00029741366442980415,6.944034326111928e-05,0.000460217106706336,-0.01760397386002368,0.00034247941707587397,-0.0004602399298716747,-0.01760283949064052,0.000460217106706336
99139937,2.6723031171592727e-05,-0.0010511638730341443,0.0003017013049731808,7.05996779869863e-05,0.0004689021268024649,-0.017650548363235406,0.00031754000471880434,-0.0004689259248239329,-0.017649560902730073,0.0004689021268024649
99139953,2.639492625233318e-05,-0.0010708509532551165,0.00030571782289832235,7.170455605340123e-05,0.00047698042479492667,-0.01769643997510203,0.0002944010443573462,-0.0004770051655585835,-0.017695594297556773,0.00047698042479492667
99139953,2.60815941818324e-05,-0.001090039947785,0.00030948072911713244,7.27583727464793e-05,0.0004844898791210103,-0.01774181300433547,0.00027307251361295687,-0.00048451552882723296,-0.01774110400927591,0.0004844898791210103
99139953,2.578205589780711e-05,-0.0011087285240949864,0.0003130064050677026,7.376428417549685e-05,0.0004914658144153122,-0.017786796620070013,0.0002535545575951547,-0.000491492338069858,-0.017786219268958778,0.0004914658144153122
99139953,2.549536604668746e-05,-0.001126914230446351,0.00031631008716323966,7.472520740292922e-05,0.0004979410091063975,-0.017831490980723067,0.00023583886324726996,-0.0004979683709455463,-0.01783104032424297,0.0004979410091063975
99139953,2.5220615323236458e-05,-0.0011445949132736402,0.00031940588841179317,7.56438276841016e-05,0.0005039457739530935,-0.01787597247402017,0.00021990979702874938,-0.0005039739378093195,-0.017875643672502547,0.0005039457739530935
99139953,2.4956933423164313e-05,-0.0011617690785168079,0.0003223068459851758,7.6522610567342e-05,0.0005095080775342548,-0.017920298135942748,0.0002057453531064596,-0.0005095370071487006,-0.017920086468843945,0.0005095080775342548
99139968,2.4703492173523664e-05,-0.001178436193071858,0.00032502498517972885,7.736381695022901e-05,0.000514653699840525,-0.01796450937685794,0.00019331795120732637,-0.0005146833591280992,-0.017964410248040987,0.000514653699840525
99139968,2.445950818597603e-05,-0.0011945969112415204,0.0003275713918670192,7.816951952639557e-05,0.0005194063994668981,-0.01800863510828496,0.00018259511610807196,-0.0005194367527392404,-0.018008644048298997,0.0005194063994668981
99139968,2.425254687358091e-05,-0.0012115002364282556,0.00033030583720045065,7.901402489014649e-05,0.0005244903730088893,-0.01805458009371428,0.00017178883909931738,-0.0005245214682608332,-0.01805470310115371,0.0005244903730088893
99139968,2.4074157884405904e-05,-0.001228772291611796,0.00033313479106207756,7.987783239459683e-05,0.0005297140100269229,-0.01810182447639954,0.00016122261186310343,-0.0005297458727137321,-0.0181020646302341,0.0005297140100269229
99139968,2.391617750348317e-05,-0.0012460595066048482,0.0003359714990900106,8.074290760137431e-05,0.0005349025762741283,-0.018149864908974463,0.00015123957135578447,-0.0005349352107936337,-0.018150222603636888,0.0005349025762741283
99139968,2.3772013096079145e-05,-0.0012630857331721002,0.0003387503586187266,8.159562287877633e-05,0.0005399260470430596,-0.01819830012088684,0.00014212249454257473,-0.0005399594415925282,-0.01819877371653842,0.0005399260470430596
99139968,2.363652294817528e-05,-0.001279645645163082,0.00034142408794434625,8.242614647090001e-05,0.0005446924090928286,-0.01824682231658626,0.00013409430164297177,-0.0005447265398978247,-0.018247408696606494,0.0005446924090928286
99139968,2.350576958560035e-05,-0.0012955924722332598,0.0003439598037668616,8.322761556509668e-05,0.000549139074607042,-0.01829520039106715,0.00012732646944064514,-0.0005491739092807175,-0.01829589539716731,0.000549139074607042
99139984,2.3376805379033373e-05,-0.0013108272801760003,0.00034633586172584993,8.399547460033722e-05,0.0005532260777401682,-0.018343265555368717,0.00012194635657080144,-0.0005532615779546018,-0.01834406432536551,0.0005532260777401682
99139984,2.3247505866914794e-05,-0.001325289653891674,0.0003485394511153788,8.472654656312773e-05,0.0005569300597466976,-0.01839089953861058,0.00011788723889047174,-0.0005569661832738289,-0.01839179672664162,0.0005569300597466976
99139984,2.311641316250466e-05,-0.0013389498359396902,0.0003505645506422179,8.541864390718812e-05,0.0005602400826186054,-0.0184380243839347,0.000114881021750009,-0.000560276784965284,-0.018439014322316465,0.0005602400826186054
99139984,2.2982659287921824e-05,-0.0013518059796323741,0.0003524111203686137,8.6071162347746e-05,0.0005631575376751515,-0.01848459904022519,0.00011271147477797061,-0.0005631947737535004,-0.01848567595725544,0.0005631575376751515
99139984,2.284572190012268e-05,-0.0013638722766331065,0.0003540821549231733,8.668435339247156e-05,0.0005656899458945705,-0.018530603066946538,0.00011120312693277156,-0.0005657276708703025,-0.018531761202643972,0.0005656899458945705
99139984,2.27053504813475e-05,-0.0013751750252256796,0.0003555829012186408,8.72591000614558e-05,0.0005678492810854362,-0.018576031966919572,0.00011021385019304357,-0.0005678874509960406,-0.018577265659321447,0.0005678492810854362
99140000,2.2561504594136602e-05,-0.0013857493510603597,0.00035692022930833875,8.779673907068746e-05,0.000569650646519738,-0.018620893325720325,0.0001096287709280494,-0.0005696892187184206,-0.018622197073835247,0.000569650646519738
99140000,2.241430262119902e-05,-0.0013956364982152013,0.0003581021291845903,8.829892063573838e-05,0.000571111236436826,-0.01866520364276675,0.00010935527287977409,-0.0005711501699035585,-0.018666572151096822,0.000571111236436826
99140000,2.2263979550604584e-05,-0.0014048816148565944,0.0003591373109817057,8.87674986802491e-05,0.0005722495267799059,-0.018708985751758018,0.00010931889760487446,-0.0005722887823305905,-0.01871041396034684,0.0005722495267799059
99140000,2.2110852511836847e-05,-0.0014135319646734212,0.0003600348899114684,8.920444556501084e-05,0.0005730846500419824,-0.018752266740233243,0.00010945998268212886,-0.0005731241904592587,-0.01875374984342077,0.0005730846500419824
99140000,2.1955292911170896e-05,-0.001421635502219908,0.00036080414046729285,8.961178654210478e-05,0.0005736359176381323,-0.018795076289339095,0.00010973090632340381,-0.0005736757077418969,-0.018796609745776547,0.0005736359176381323
99140000,2.1797704151177906e-05,-0.0014292397570824648,0.0003614543070971401,8.999155002888707e-05,0.0005739224601591253,-0.018837445365287902,0.00011009383032699904,-0.0005739624668307867,-0.01883902490125774,0.0005739224601591253
99140000,2.1638504046256575e-05,-0.0014363909782242703,0.000361994460757943,9.034573052469318e-05,0.0005739629614996393,-0.018879405203387416,0.00011051885247848035,-0.0005740031536710866,-0.018881026811062414,0.0005739629614996393
99140000,2.1478111162565115e-05,-0.0014431334958612987,0.0003624333926025774,9.06762615884682e-05,0.0005737754674370267,-0.018920986533927042,0.00011098249527179298,-0.0005738158160529722,-0.01892264646586993,0.0005737754674370267
99140015,2.1316934416050514e-05,-0.0014495092637338918,0.0003627795375778623,9.098499678221326e-05,0.0005733772529617208,-0.01896221900664788,0.00011146647079682835,-0.0005734177309222829,-0.01896391376758452,0.0005733772529617208
99140015,2.1155365356496e-05,-0.001455557549639992,0.0003630409219812606,9.127369688287755e-05,0.0005727847356883992,-0.019003130777063122,0.00011195667231497169,-0.0005728253177773861,-0.01900485711374521,0.0005727847356883992
99140015,2.0993772649059293e-05,-0.0014613147465929043,0.0003632251300784245,9.154402199024146e-05,0.0005720134251380976,-0.019043748223601904,0.0001124423518292287,-0.0005720540879413413,-0.019045503113400405,0.0005720134251380976
